"victim_id","incident_id","victim_type_id","victim_type_name","assignment_type_id","assignment_type_name","activity_type_id","activity_type_name","age_range_low_num","age_range_high_num","age_id","age_name","sex_code","agency_data_year"
79849725,73437778,5,"Law Enforcement Officer",3,"One-Officer (Assisted)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
79846671,73435092,5,"Law Enforcement Officer",3,"One-Officer (Assisted)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
79846537,73434209,5,"Law Enforcement Officer",3,"One-Officer (Assisted)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
79927873,73516536,5,"Law Enforcement Officer",2,"One-Officer (Alone)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
79909815,73498313,5,"Law Enforcement Officer",2,"One-Officer (Alone)",1,"Responding to Disturbance Call",,,4,"Unknown","M",
79896837,73485121,5,"Law Enforcement Officer",3,"One-Officer (Assisted)",1,"Responding to Disturbance Call",,,4,"Unknown","M",
79882905,73470759,5,"Law Enforcement Officer",2,"One-Officer (Alone)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
82522272,75800735,5,"Law Enforcement Officer",3,"One-Officer (Assisted)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
82519167,75798893,5,"Law Enforcement Officer",2,"One-Officer (Alone)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
82516974,75796344,5,"Law Enforcement Officer",1,"Two-Officer Vehicle",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
82514881,75794629,5,"Law Enforcement Officer",1,"Two-Officer Vehicle",1,"Responding to Disturbance Call",,,4,"Unknown","M",
82514880,75794629,5,"Law Enforcement Officer",1,"Two-Officer Vehicle",1,"Responding to Disturbance Call",,,4,"Unknown","M",
82510544,75789605,5,"Law Enforcement Officer",3,"One-Officer (Assisted)",1,"Responding to Disturbance Call",,,4,"Unknown","M",
79998566,73589075,5,"Law Enforcement Officer",2,"One-Officer (Alone)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
83654448,76844380,5,"Law Enforcement Officer",6,"Other (Alone)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
83604752,76794890,5,"Law Enforcement Officer",3,"One-Officer (Assisted)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
83624391,76813809,5,"Law Enforcement Officer",3,"One-Officer (Assisted)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
83615765,76805658,5,"Law Enforcement Officer",7,"Other (Assisted)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
83590834,76781544,5,"Law Enforcement Officer",3,"One-Officer (Assisted)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
83590833,76781544,5,"Law Enforcement Officer",3,"One-Officer (Assisted)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
83583278,76773546,5,"Law Enforcement Officer",7,"Other (Assisted)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
83576894,76767384,5,"Law Enforcement Officer",3,"One-Officer (Assisted)",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
83571359,76761955,5,"Law Enforcement Officer",1,"Two-Officer Vehicle",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
83560623,76751332,5,"Law Enforcement Officer",1,"Two-Officer Vehicle",1,"Responding to Disturbance Call",,,5,"Age in Years","F",
83560622,76751332,5,"Law Enforcement Officer",1,"Two-Officer Vehicle",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
83554152,76745075,5,"Law Enforcement Officer",1,"Two-Officer Vehicle",1,"Responding to Disturbance Call",,,5,"Age in Years","M",
83555255,76746009,5,"Law Enforcement Officer",3,"One-Officer (Assisted)",1,"Responding to Disturbance Call",,,5,"Age in Years","F",
